"[21/100] [23/24] took: 7.745, d_loss: 0.42413, g_loss: 2.42895"
"[20/100] [23/24] took: 11.475, d_loss: 0.90642, g_loss: 2.18774"
"[19/100] [23/24] took: 9.632, d_loss: 0.84397, g_loss: 1.45643"
"[18/100] [23/24] took: 12.108, d_loss: 0.44689, g_loss: 2.02400"
"[17/100] [23/24] took: 17.906, d_loss: 3.56582, g_loss: 0.08433"
"[16/100] [23/24] took: 20.260, d_loss: 0.65861, g_loss: 2.25673"
"[15/100] [23/24] took: 13.378, d_loss: 0.89870, g_loss: 2.07063"
"[14/100] [23/24] took: 10.909, d_loss: 0.40098, g_loss: 1.79675"
"[13/100] [23/24] took: 6.838, d_loss: 0.16013, g_loss: 2.35881"
"[12/100] [23/24] took: 6.038, d_loss: 1.88890, g_loss: 0.92797"
"[11/100] [23/24] took: 6.306, d_loss: 0.96659, g_loss: 0.75420"
"[10/100] [23/24] took: 7.983, d_loss: 2.37075, g_loss: 4.50578"
"[9/100] [23/24] took: 8.126, d_loss: 0.56375, g_loss: 3.34669"
"[8/100] [23/24] took: 8.911, d_loss: 0.89434, g_loss: 1.37427"
"[7/100] [23/24] took: 9.315, d_loss: 0.95559, g_loss: 1.76548"
"[6/100] [23/24] took: 11.689, d_loss: 3.44844, g_loss: 0.04804"
"[5/100] [23/24] took: 7.106, d_loss: 1.89459, g_loss: 1.74833"
"[4/100] [23/24] took: 6.763, d_loss: 0.49922, g_loss: 1.54152"
"[3/100] [23/24] took: 7.398, d_loss: 0.56223, g_loss: 2.05194"
"[2/100] [23/24] took: 6.503, d_loss: 0.17566, g_loss: 3.67793"
"[1/100] [23/24] took: 8.486, d_loss: 0.31814, g_loss: 9.00006"
"[0/100] [23/24] took: 6.015, d_loss: 0.14732, g_loss: 3.97717"
